acq_date,fire_count,mean_frp,soil_temp_level_1,soil_moisture_level_1
2017-11-30,168,33.40714285714286,,
2017-12-01,24,11.950000000000001,,
2017-12-02,24,10.450000000000001,,
2017-12-05,12,10.3,,
2017-12-07,36,27.666666666666668,,
2017-12-08,24,16.150000000000002,,
2017-12-09,36,6.0,,
2017-12-10,108,83.07777777777777,,
2017-12-11,120,25.470000000000002,,
2017-12-12,120,26.45,,
2017-12-13,36,53.7,,
2017-12-15,60,73.26,,
2017-12-17,12,8.5,,
2017-12-19,72,38.583333333333336,,
2017-12-20,36,160.66666666666666,,
2017-12-28,48,41.85,,
2017-12-30,12,5.400000000000001,,
2018-04-01,4,5.7625,,
2018-04-02,2,5.37,,
2018-04-03,18,14.488888888888889,,
2018-04-04,10,9.238,,
2018-04-05,20,2.7024999999999997,,
2018-04-08,10,7.601000000000001,,
2018-04-09,2,3.955,,
2018-04-10,5,1.8820000000000001,,
2018-04-11,3,6.756666666666668,,
2018-04-13,2,2.13,,
2018-04-14,5,16.542,,
2018-04-15,8,6.8675,,
2018-04-16,4,6.5625,,
2018-04-17,36,42.08833333333334,,
2018-04-18,29,2.286206896551724,,
2018-04-19,8,5.6325,,
2018-04-21,1,35.84,,
2018-04-22,2,1.3,,
2018-04-24,1,0.79,,
2018-04-25,6,15.176666666666668,,
2018-04-26,7,3.5328571428571425,,
2018-04-27,12,23.951666666666668,,
2018-04-28,4,3.65,,
2018-04-29,3,1.9733333333333334,,
2018-04-30,2,3.3499999999999996,,
2018-05-01,2,4.81,,
2018-05-03,1,1.29,,
2018-05-04,5,6.114000000000001,,
2018-05-05,8,6.3862499999999995,,
2018-05-06,5,0.818,,
2018-05-07,4,2.16,,
2018-05-09,7,0.8814285714285715,,
2018-05-10,9,3.07,,
2018-05-11,1,0.79,,
2018-05-14,3,1.79,,
2018-05-15,2,10.215,,
2018-05-16,2,6.595,,
2018-05-17,4,0.755,,
2018-05-18,5,0.546,,
2018-05-21,3,1.8033333333333335,,
2018-05-23,4,0.76,,
2018-05-24,4,0.9425,,
